Date,Description,Amount,Transaction Type,Category,Account Name
2018-01-01,Amazon,11.11,debit,shopping,Platinum Card
2018-01-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-01-02,Thai Restaurant,24.22,debit,restaurants,Silver Card
2018-01-03,Credit Card Payment,2298.09,credit,credit card payment,Platinum Card
2018-01-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-01-05,American Tavern,25.85,debit,restaurants,Silver Card
2018-01-06,Hardware Store,18.45,debit,home improvement,Silver Card
2018-01-08,Gas Company,45.0,debit,utilities,Checking
2018-01-08,Hardware Store,15.38,debit,home improvement,Silver Card
2018-01-09,Spotify,10.69,debit,music,Platinum Card
2018-01-10,Phone Company,89.46,debit,mobile phone,Checking
2018-01-11,Shell,34.87,debit,gas & fuel,Platinum Card
2018-01-11,Grocery Store,43.54,debit,groceries,Platinum Card
2018-01-12,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-01-13,Pizza Place,32.91,debit,fast food,Platinum Card
2018-01-13,Amazon,39.05,debit,shopping,Platinum Card
2018-01-15,Grocery Store,44.19,debit,groceries,Silver Card
2018-01-15,American Tavern,64.11,debit,restaurants,Silver Card
2018-01-16,City Water Charges,35.0,debit,utilities,Checking
2018-01-16,Power Company,60.0,debit,utilities,Checking
2018-01-19,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-01-20,Amazon,50.21,debit,shopping,Platinum Card
2018-01-22,Credit Card Payment,554.99,credit,credit card payment,Platinum Card
2018-01-22,Credit Card Payment,309.81,credit,credit card payment,Silver Card
2018-01-22,Credit Card Payment,554.99,debit,credit card payment,Checking
2018-01-22,Hardware Store,17.38,debit,home improvement,Silver Card
2018-01-23,Credit Card Payment,309.81,debit,credit card payment,Checking
2018-01-24,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-01-25,Internet Service Provider,69.99,debit,internet,Checking
2018-01-29,Shell,30.42,debit,gas & fuel,Silver Card
2018-01-29,Thai Restaurant,25.0,debit,restaurants,Silver Card
2018-01-29,Brunch Restaurant,17.62,debit,restaurants,Platinum Card
2018-02-01,Grocery Store,27.79,debit,groceries,Platinum Card
2018-02-01,Amazon,11.11,debit,shopping,Platinum Card
2018-02-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-02-02,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-02-03,Japanese Restaurant,57.02,debit,restaurants,Platinum Card
2018-02-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-02-05,Credit Card Payment,145.14,credit,credit card payment,Platinum Card
2018-02-06,Credit Card Payment,154.13,credit,credit card payment,Silver Card
2018-02-07,Credit Card Payment,154.13,debit,credit card payment,Checking
2018-02-07,Gas Company,65.0,debit,utilities,Checking
2018-02-09,Barbershop,30.0,debit,haircut,Platinum Card
2018-02-09,Spotify,10.69,debit,music,Platinum Card
2018-02-10,Bojangles,10.66,debit,fast food,Platinum Card
2018-02-11,Fancy Restaurant,106.8,debit,restaurants,Platinum Card
2018-02-12,Shell,36.47,debit,gas & fuel,Silver Card
2018-02-12,Phone Company,89.52,debit,mobile phone,Checking
2018-02-14,Brewing Company,14.0,debit,alcohol & bars,Silver Card
2018-02-15,American Tavern,10.0,debit,restaurants,Platinum Card
2018-02-15,Power Company,60.0,debit,utilities,Checking
2018-02-16,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-02-16,Brunch Restaurant,8.0,debit,restaurants,Silver Card
2018-02-16,City Water Charges,35.0,debit,utilities,Checking
2018-02-20,Grocery Store,35.95,debit,groceries,Silver Card
2018-02-20,Mexican Restaurant,23.51,debit,restaurants,Silver Card
2018-02-21,Starbucks,2.0,debit,coffee shops,Platinum Card
2018-02-22,Starbucks,4.0,debit,coffee shops,Silver Card
2018-02-26,Credit Card Payment,765.37,credit,credit card payment,Platinum Card
2018-02-26,Credit Card Payment,156.11,credit,credit card payment,Silver Card
2018-02-26,Credit Card Payment,765.37,debit,credit card payment,Checking
2018-02-26,Internet Service Provider,74.99,debit,internet,Checking
2018-02-26,American Tavern,85.52,debit,restaurants,Silver Card
2018-02-26,Gas Station,32.21,debit,gas & fuel,Silver Card
2018-02-27,Credit Card Payment,156.11,debit,credit card payment,Checking
2018-03-01,Grocery Store,32.07,debit,groceries,Silver Card
2018-03-01,Amazon,13.13,debit,shopping,Platinum Card
2018-03-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-03-02,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-03-03,Grocery Store,23.74,debit,groceries,Silver Card
2018-03-04,Grocery Store,10.69,debit,groceries,Platinum Card
2018-03-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-03-04,BBQ Restaurant,42.24,debit,restaurants,Platinum Card
2018-03-05,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-03-05,Credit Card Payment,761.59,credit,credit card payment,Silver Card
2018-03-05,Credit Card Payment,761.59,debit,credit card payment,Checking
2018-03-07,Starbucks,3.5,debit,coffee shops,Platinum Card
2018-03-08,BP,34.9,debit,gas & fuel,Platinum Card
2018-03-08,Gas Company,52.0,debit,utilities,Checking
2018-03-09,Grocery Store,20.72,debit,groceries,Platinum Card
2018-03-09,Grocery Store,5.09,debit,groceries,Platinum Card
2018-03-09,Spotify,10.69,debit,music,Platinum Card
2018-03-12,Grocery Store,19.35,debit,groceries,Platinum Card
2018-03-12,Phone Company,89.52,debit,mobile phone,Checking
2018-03-13,Amazon,45.75,debit,shopping,Platinum Card
2018-03-14,Grocery Store,22.5,debit,groceries,Platinum Card
2018-03-14,Brunch Restaurant,8.49,debit,restaurants,Platinum Card
2018-03-15,Starbucks,3.5,debit,coffee shops,Platinum Card
2018-03-15,Power Company,60.0,debit,utilities,Checking
2018-03-16,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-03-17,Brewing Company,19.5,debit,alcohol & bars,Silver Card
2018-03-17,Pizza Place,23.34,debit,fast food,Platinum Card
2018-03-19,Mediterranean Restaurant,36.48,debit,restaurants,Silver Card
2018-03-19,City Water Charges,35.0,debit,utilities,Checking
2018-03-20,Amazon,14.97,debit,shopping,Platinum Card
2018-03-22,BP,30.55,debit,gas & fuel,Silver Card
2018-03-23,Credit Card Payment,559.91,credit,credit card payment,Platinum Card
2018-03-23,Credit Card Payment,559.91,debit,credit card payment,Checking
2018-03-23,Grocery Store,11.76,debit,groceries,Silver Card
2018-03-26,Internet Service Provider,74.99,debit,internet,Checking
2018-03-28,Grocery Store,16.06,debit,groceries,Silver Card
2018-03-28,Pizza Place,24.98,debit,restaurants,Silver Card
2018-03-29,Steakhouse,17.64,debit,restaurants,Silver Card
2018-03-30,Grocery Store,9.09,debit,groceries,Silver Card
2018-03-30,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-03-31,Belgian Restaurant,38.32,debit,restaurants,Platinum Card
2018-03-31,Chili's,24.74,debit,restaurants,Platinum Card
2018-03-31,Greek Restaurant,41.16,debit,restaurants,Silver Card
2018-04-01,Grocery Store,80.79,debit,groceries,Platinum Card
2018-04-01,Brewing Company,59.48,debit,restaurants,Platinum Card
2018-04-01,Amazon,13.13,debit,shopping,Platinum Card
2018-04-02,Credit Card Payment,817.14,credit,credit card payment,Silver Card
2018-04-02,Credit Card Payment,817.14,debit,credit card payment,Checking
2018-04-02,Grocery Store,82.36,debit,groceries,Platinum Card
2018-04-02,Hardware Store,13.89,debit,home improvement,Platinum Card
2018-04-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-04-03,Amazon Video,6.41,debit,movies & dvds,Platinum Card
2018-04-04,Credit Card Payment,363.08,credit,credit card payment,Platinum Card
2018-04-04,Credit Card Payment,363.08,debit,credit card payment,Checking
2018-04-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-04-06,Chevron,4.58,debit,gas & fuel,Platinum Card
2018-04-06,Tiny Deli,9.76,debit,restaurants,Platinum Card
2018-04-08,Irish Pub,22.0,debit,restaurants,Platinum Card
2018-04-09,Blue Sky Market,6.48,debit,groceries,Silver Card
2018-04-09,Spotify,10.69,debit,music,Platinum Card
2018-04-09,Gas Company,30.0,debit,utilities,Checking
2018-04-11,Phone Company,89.52,debit,mobile phone,Checking
2018-04-12,Starbucks,7.0,debit,coffee shops,Platinum Card
2018-04-12,Barbershop,30.0,debit,haircut,Platinum Card
2018-04-13,BP,37.98,debit,gas & fuel,Platinum Card
2018-04-13,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-04-13,American Tavern,10.66,debit,restaurants,Platinum Card
2018-04-14,Hardware Store,11.61,debit,home improvement,Platinum Card
2018-04-14,American Tavern,41.0,debit,restaurants,Platinum Card
2018-04-16,State Farm,75.0,debit,auto insurance,Checking
2018-04-16,City Water Charges,35.0,debit,utilities,Checking
2018-04-18,Power Company,60.0,debit,utilities,Checking
2018-04-20,Thai Restaurant,24.22,debit,restaurants,Silver Card
2018-04-21,Grocery Store,4.32,debit,groceries,Silver Card
2018-04-21,American Tavern,35.15,debit,restaurants,Silver Card
2018-04-22,Grocery Store,21.32,debit,groceries,Platinum Card
2018-04-23,Hardware Store,42.7,debit,home improvement,Silver Card
2018-04-24,Hardware Store,224.7,debit,home improvement,Platinum Card
2018-04-24,Amazon,41.34,debit,shopping,Platinum Card
2018-04-25,Hardware Store,210.79,debit,home improvement,Silver Card
2018-04-25,Internet Service Provider,74.99,debit,internet,Checking
2018-04-26,Credit Card Payment,769.72,credit,credit card payment,Silver Card
2018-04-26,Credit Card Payment,1216.94,credit,credit card payment,Platinum Card
2018-04-26,Credit Card Payment,1216.94,debit,credit card payment,Checking
2018-04-27,Credit Card Payment,769.72,debit,credit card payment,Checking
2018-04-27,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-04-28,Grocery Store,22.98,debit,groceries,Silver Card
2018-04-29,QuikTrip,39.0,debit,gas & fuel,Platinum Card
2018-04-29,Grocery Store,51.05,debit,groceries,Platinum Card
2018-04-29,Hardware Store,68.47,debit,home improvement,Platinum Card
2018-04-30,Grocery Store,5.09,debit,groceries,Platinum Card
2018-05-01,Amazon,13.13,debit,shopping,Platinum Card
2018-05-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-05-03,Amazon,49.72,debit,shopping,Platinum Card
2018-05-04,Grocery Store,42.23,debit,groceries,Platinum Card
2018-05-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-05-05,Bojangles,7.27,debit,fast food,Platinum Card
2018-05-05,Pizza Place,20.52,debit,fast food,Platinum Card
2018-05-06,Hardware Store,22.37,debit,home improvement,Platinum Card
2018-05-06,Amazon,117.69,debit,shopping,Platinum Card
2018-05-09,Credit Card Payment,601.4,credit,credit card payment,Platinum Card
2018-05-09,Credit Card Payment,601.4,debit,credit card payment,Checking
2018-05-09,Spotify,10.69,debit,music,Platinum Card
2018-05-09,Gas Company,30.0,debit,utilities,Checking
2018-05-10,Phone Company,111.18,debit,mobile phone,Checking
2018-05-11,Grocery Store,57.32,debit,groceries,Platinum Card
2018-05-11,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-05-11,Mike's Construction Co.,8000.0,debit,home improvement,Checking
2018-05-12,Liquor Store,27.77,debit,alcohol & bars,Platinum Card
2018-05-12,Shell,33.3,debit,gas & fuel,Platinum Card
2018-05-12,Fancy Restaurant,78.0,debit,restaurants,Platinum Card
2018-05-14,Grocery Store,67.63,debit,groceries,Silver Card
2018-05-15,Power Company,60.0,debit,utilities,Checking
2018-05-17,Barbershop,29.0,debit,haircut,Silver Card
2018-05-17,City Water Charges,35.0,debit,utilities,Checking
2018-05-18,State Farm,75.0,debit,auto insurance,Checking
2018-05-18,Amazon,6.41,debit,shopping,Platinum Card
2018-05-19,Credit Card Payment,207.08,credit,credit card payment,Platinum Card
2018-05-19,Grocery Store,31.0,debit,groceries,Silver Card
2018-05-19,Greek Restaurant,23.26,debit,restaurants,Silver Card
2018-05-21,Credit Card Payment,283.07,credit,credit card payment,Silver Card
2018-05-21,Thai Restaurant,26.04,debit,restaurants,Silver Card
2018-05-21,Amazon,32.5,debit,shopping,Platinum Card
2018-05-22,Credit Card Payment,283.07,debit,credit card payment,Checking
2018-05-24,BP,39.44,debit,gas & fuel,Silver Card
2018-05-25,Internet Service Provider,74.99,debit,internet,Checking
2018-05-25,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-05-28,Movie Theater,9.62,debit,entertainment,Silver Card
2018-05-28,Grocery Store,91.03,debit,groceries,Silver Card
2018-05-29,Movie Theater,20.0,debit,movies & dvds,Silver Card
2018-05-29,Movie Theater,6.25,debit,movies & dvds,Silver Card
2018-06-01,BP,38.63,debit,gas & fuel,Platinum Card
2018-06-01,Grocery Store,6.11,debit,groceries,Platinum Card
2018-06-01,Amazon,13.13,debit,shopping,Platinum Card
2018-06-02,Credit Card Payment,235.18,credit,credit card payment,Silver Card
2018-06-02,Credit Card Payment,466.36,credit,credit card payment,Platinum Card
2018-06-03,Italian Restaurant,65.81,debit,restaurants,Platinum Card
2018-06-04,Credit Card Payment,235.18,debit,credit card payment,Checking
2018-06-04,Grocery Store,24.12,debit,groceries,Platinum Card
2018-06-04,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-06-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-06-06,Starbucks,4.0,debit,coffee shops,Platinum Card
2018-06-08,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-06-08,Gas Company,30.0,debit,utilities,Checking
2018-06-09,Chick-Fil-A,16.18,debit,fast food,Platinum Card
2018-06-09,Grocery Store,9.56,debit,groceries,Platinum Card
2018-06-09,Spotify,10.69,debit,music,Platinum Card
2018-06-10,Grocery Store,46.01,debit,groceries,Platinum Card
2018-06-12,Grocery Store,12.55,debit,groceries,Platinum Card
2018-06-12,Phone Company,89.46,debit,mobile phone,Checking
2018-06-14,Credit Card Payment,283.44,credit,credit card payment,Platinum Card
2018-06-14,Credit Card Payment,283.44,debit,credit card payment,Checking
2018-06-14,Grocery Store,7.02,debit,groceries,Platinum Card
2018-06-15,Power Company,60.0,debit,utilities,Checking
2018-06-16,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-06-16,Pizza Place,22.66,debit,fast food,Platinum Card
2018-06-16,Grocery Store,13.9,debit,groceries,Platinum Card
2018-06-18,City Water Charges,35.0,debit,utilities,Checking
2018-06-19,Shell,38.52,debit,gas & fuel,Platinum Card
2018-06-19,Grocery Store,2.69,debit,groceries,Platinum Card
2018-06-20,State Farm,75.0,debit,auto insurance,Checking
2018-06-20,Credit Card Payment,89.45,credit,credit card payment,Silver Card
2018-06-20,Barbershop,30.0,debit,haircut,Silver Card
2018-06-21,Credit Card Payment,89.45,debit,credit card payment,Checking
2018-06-22,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-06-23,Brunch Restaurant,8.5,debit,restaurants,Silver Card
2018-06-23,Amazon,74.97,debit,shopping,Platinum Card
2018-06-25,Credit Card Payment,942.76,credit,credit card payment,Platinum Card
2018-06-25,Credit Card Payment,942.76,debit,credit card payment,Checking
2018-06-25,Internet Service Provider,74.99,debit,internet,Checking
2018-06-26,Grocery Store,9.62,debit,groceries,Silver Card
2018-06-27,Starbucks,3.5,debit,coffee shops,Silver Card
2018-06-27,Pizza Place,22.66,debit,fast food,Platinum Card
2018-06-28,Grocery Store,7.57,debit,groceries,Silver Card
2018-07-01,Amazon,13.13,debit,shopping,Platinum Card
2018-07-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-07-02,Movie Theater,25.0,debit,movies & dvds,Silver Card
2018-07-02,American Tavern,36.44,debit,restaurants,Silver Card
2018-07-04,BP,34.48,debit,gas & fuel,Silver Card
2018-07-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-07-05,Grocery Store,44.25,debit,groceries,Silver Card
2018-07-05,Amazon,212.32,debit,shopping,Platinum Card
2018-07-06,Amazon Video,6.41,debit,movies & dvds,Platinum Card
2018-07-06,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-07-08,Credit Card Payment,259.87,credit,credit card payment,Platinum Card
2018-07-09,Credit Card Payment,242.16,credit,credit card payment,Silver Card
2018-07-09,Credit Card Payment,259.87,debit,credit card payment,Checking
2018-07-09,Spotify,10.69,debit,music,Platinum Card
2018-07-10,Credit Card Payment,242.16,debit,credit card payment,Checking
2018-07-10,Grocery Store,5.39,debit,groceries,Silver Card
2018-07-10,Gas Company,30.0,debit,utilities,Checking
2018-07-11,Phone Company,89.46,debit,mobile phone,Checking
2018-07-14,Go Mart,33.51,debit,gas & fuel,Silver Card
2018-07-15,Circle K,36.24,debit,gas & fuel,Platinum Card
2018-07-17,Wendy's,15.23,debit,fast food,Silver Card
2018-07-17,City Water Charges,35.0,debit,utilities,Checking
2018-07-17,Power Company,60.0,debit,utilities,Checking
2018-07-18,Irish Restaurant,28.54,debit,alcohol & bars,Platinum Card
2018-07-18,State Farm,75.0,debit,auto insurance,Checking
2018-07-20,Credit Card Payment,61.43,credit,credit card payment,Silver Card
2018-07-20,Credit Card Payment,102.88,credit,credit card payment,Platinum Card
2018-07-20,Credit Card Payment,102.88,debit,credit card payment,Checking
2018-07-20,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-07-21,Grocery Store,28.93,debit,groceries,Platinum Card
2018-07-21,Barbershop,30.0,debit,haircut,Platinum Card
2018-07-23,Credit Card Payment,61.43,debit,credit card payment,Checking
2018-07-23,Starbucks,9.58,debit,fast food,Platinum Card
2018-07-24,American Tavern,26.59,debit,restaurants,Platinum Card
2018-07-25,Internet Service Provider,74.99,debit,internet,Checking
2018-07-26,Conoco,33.67,debit,gas & fuel,Silver Card
2018-07-28,Grocery Store,7.61,debit,groceries,Silver Card
2018-07-30,American Tavern,34.38,debit,restaurants,Silver Card
2018-07-31,Brewing Company,6.6,debit,alcohol & bars,Silver Card
2018-08-01,Amazon,13.13,debit,shopping,Platinum Card
2018-08-02,Credit Card Payment,816.27,credit,credit card payment,Platinum Card
2018-08-02,Shell,40.44,debit,gas & fuel,Silver Card
2018-08-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-08-03,Grocery Store,6.27,debit,groceries,Silver Card
2018-08-03,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-08-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-08-06,Amazon,76.47,debit,shopping,Platinum Card
2018-08-09,Spotify,10.69,debit,music,Platinum Card
2018-08-09,Gas Company,30.0,debit,utilities,Checking
2018-08-10,Phone Company,89.4,debit,mobile phone,Checking
2018-08-11,Chick-Fil-A,13.67,debit,fast food,Platinum Card
2018-08-11,Valero,33.66,debit,gas & fuel,Platinum Card
2018-08-15,Credit Card Payment,269.56,credit,credit card payment,Silver Card
2018-08-15,Credit Card Payment,159.38,credit,credit card payment,Platinum Card
2018-08-15,Shell,41.07,debit,gas & fuel,Platinum Card
2018-08-15,Grocery Store,5.64,debit,groceries,Platinum Card
2018-08-15,Power Company,60.0,debit,utilities,Checking
2018-08-16,Credit Card Payment,269.56,debit,credit card payment,Checking
2018-08-16,City Water Charges,35.0,debit,utilities,Checking
2018-08-17,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-08-17,Amazon,14.98,debit,shopping,Platinum Card
2018-08-18,Amazon,23.47,debit,shopping,Platinum Card
2018-08-20,State Farm,75.0,debit,auto insurance,Checking
2018-08-21,Credit Card Payment,34.18,credit,credit card payment,Silver Card
2018-08-21,Credit Card Payment,99.76,credit,credit card payment,Platinum Card
2018-08-21,Credit Card Payment,99.76,debit,credit card payment,Checking
2018-08-22,Credit Card Payment,34.18,debit,credit card payment,Checking
2018-08-24,American Tavern,42.31,debit,restaurants,Platinum Card
2018-08-27,Internet Service Provider,74.99,debit,internet,Checking
2018-08-30,Shell,35.65,debit,gas & fuel,Platinum Card
2018-08-31,Grocery Store,11.64,debit,groceries,Platinum Card
2018-08-31,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-09-01,Brewing Company,47.4,debit,alcohol & bars,Platinum Card
2018-09-01,Amazon,13.13,debit,shopping,Platinum Card
2018-09-02,Amazon,109.83,debit,shopping,Platinum Card
2018-09-04,Credit Card Payment,687.29,credit,credit card payment,Platinum Card
2018-09-04,Credit Card Payment,687.29,debit,credit card payment,Checking
2018-09-04,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-09-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-09-07,Gas Company,30.0,debit,utilities,Checking
2018-09-09,Brewing Company,18.0,debit,alcohol & bars,Platinum Card
2018-09-09,Spotify,10.69,debit,music,Platinum Card
2018-09-11,BP,38.86,debit,gas & fuel,Platinum Card
2018-09-11,Grocery Store,7.87,debit,groceries,Platinum Card
2018-09-12,Grocery Store,47.16,debit,groceries,Platinum Card
2018-09-12,Phone Company,89.4,debit,mobile phone,Checking
2018-09-13,Grocery Store,5.64,debit,groceries,Platinum Card
2018-09-14,Credit Card Payment,134.34,credit,credit card payment,Platinum Card
2018-09-14,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-09-17,Grocery Store,10.17,debit,groceries,Platinum Card
2018-09-17,Grocery Store,8.8,debit,groceries,Platinum Card
2018-09-17,City Water Charges,35.0,debit,utilities,Checking
2018-09-18,Grocery Store,4.32,debit,groceries,Platinum Card
2018-09-18,Power Company,60.0,debit,utilities,Checking
2018-09-19,State Farm,75.0,debit,auto insurance,Checking
2018-09-19,Barbershop,30.0,debit,haircut,Platinum Card
2018-09-20,Amazon,47.38,debit,shopping,Platinum Card
2018-09-22,Hardware Store,69.4,debit,home improvement,Platinum Card
2018-09-22,Hardware Store,6.83,debit,home improvement,Platinum Card
2018-09-25,Internet Service Provider,74.99,debit,internet,Checking
2018-09-25,Sushi Restaurant,48.64,debit,restaurants,Silver Card
2018-09-26,Starbucks,5.0,debit,coffee shops,Platinum Card
2018-09-26,Exxon,38.0,debit,gas & fuel,Silver Card
2018-09-27,Valero,40.71,debit,gas & fuel,Platinum Card
2018-09-28,Credit Card Payment,128.12,credit,credit card payment,Silver Card
2018-09-28,Credit Card Payment,284.96,credit,credit card payment,Platinum Card
2018-09-28,Credit Card Payment,284.96,debit,credit card payment,Checking
2018-09-28,Grocery Store,13.36,debit,groceries,Platinum Card
2018-09-28,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-09-29,Greek Restaurant,23.26,debit,restaurants,Platinum Card
2018-09-29,German Restaurant,46.7,debit,restaurants,Platinum Card
2018-10-01,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-10-01,Credit Card Payment,128.12,debit,credit card payment,Checking
2018-10-01,Grocery Store,15.66,debit,groceries,Platinum Card
2018-10-01,Amazon,13.13,debit,shopping,Platinum Card
2018-10-02,Credit Card Payment,124.03,credit,credit card payment,Platinum Card
2018-10-02,Credit Card Payment,124.03,debit,credit card payment,Checking
2018-10-02,Mortgage Payment,1209.18,debit,mortgage & rent,Checking
2018-10-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-10-06,American Tavern,27.0,debit,restaurants,Silver Card
2018-10-08,Shell,38.06,debit,gas & fuel,Silver Card
2018-10-08,Hardware Store,80.65,debit,home improvement,Silver Card
2018-10-08,Hardware Store,31.2,debit,home improvement,Silver Card
2018-10-09,Spotify,10.69,debit,music,Platinum Card
2018-10-09,Amazon,19.98,debit,shopping,Platinum Card
2018-10-09,Gas Company,30.0,debit,utilities,Checking
2018-10-10,Grocery Store,53.68,debit,groceries,Silver Card
2018-10-11,Phone Company,89.4,debit,mobile phone,Checking
2018-10-12,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-10-16,Power Company,60.0,debit,utilities,Checking
2018-10-17,City Water Charges,35.0,debit,utilities,Checking
2018-10-18,State Farm,75.0,debit,auto insurance,Checking
2018-10-18,Grocery Store,33.55,debit,groceries,Platinum Card
2018-10-18,Hardware Store,45.24,debit,home improvement,Platinum Card
2018-10-18,Brunch Restaurant,8.0,debit,restaurants,Platinum Card
2018-10-21,Credit Card Payment,544.37,credit,credit card payment,Platinum Card
2018-10-22,Credit Card Payment,353.83,credit,credit card payment,Silver Card
2018-10-22,Credit Card Payment,353.83,debit,credit card payment,Checking
2018-10-22,BP,34.66,debit,gas & fuel,Platinum Card
2018-10-23,Grocery Store,7.57,debit,groceries,Platinum Card
2018-10-25,Internet Service Provider,74.99,debit,internet,Checking
2018-10-25,Amazon,29.98,debit,shopping,Platinum Card
2018-10-26,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-10-27,American Tavern,25.4,debit,restaurants,Silver Card
2018-10-28,Brewing Company,12.71,debit,alcohol & bars,Platinum Card
2018-10-28,Seafood Restaurant,14.75,debit,food & dining,Platinum Card
2018-10-28,Grocery Store,92.49,debit,groceries,Platinum Card
2018-10-28,Italian Restaurant,54.0,debit,restaurants,Platinum Card
2018-10-31,Grocery Store,5.64,debit,groceries,Platinum Card
2018-11-01,Amazon,13.13,debit,shopping,Platinum Card
2018-11-02,Credit Card Payment,262.51,credit,credit card payment,Platinum Card
2018-11-02,Credit Card Payment,262.51,debit,credit card payment,Checking
2018-11-02,Mortgage Payment,1209.18,debit,mortgage & rent,Checking
2018-11-03,Pizza Place,23.66,debit,fast food,Platinum Card
2018-11-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-11-05,Shell,36.51,debit,gas & fuel,Platinum Card
2018-11-06,Amazon,53.95,debit,shopping,Platinum Card
2018-11-06,Gas Company,30.0,debit,utilities,Checking
2018-11-08,Grocery Store,5.64,debit,groceries,Platinum Card
2018-11-09,Spotify,10.69,debit,music,Platinum Card
2018-11-09,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-11-10,Brewing Company,27.0,debit,alcohol & bars,Platinum Card
2018-11-10,Chick-Fil-A,14.19,debit,fast food,Platinum Card
2018-11-10,Food Truck,24.4,debit,groceries,Platinum Card
